,STOCKCODE,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
56,093320,2020-07-31,0 days 13:40:00.000000000,65100,65300,65100,65200,388
57,093320,2020-07-31,0 days 13:45:00.000000000,65200,65300,65100,65300,1016
58,093320,2020-07-31,0 days 13:50:00.000000000,65300,65500,65300,65300,423
59,093320,2020-07-31,0 days 13:55:00.000000000,65300,65500,65200,65300,398
60,093320,2020-07-31,0 days 14:00:00.000000000,65300,65500,65300,65500,330
61,093320,2020-07-31,0 days 14:05:00.000000000,65600,65700,65500,65500,251
62,093320,2020-07-31,0 days 14:10:00.000000000,65500,65700,65500,65600,775
63,093320,2020-07-31,0 days 14:15:00.000000000,65500,65600,65400,65500,655
64,093320,2020-07-31,0 days 14:20:00.000000000,65400,65400,65300,65400,901
65,093320,2020-07-31,0 days 14:25:00.000000000,65400,65400,65100,65200,640
66,093320,2020-07-31,0 days 14:30:00.000000000,65200,65300,65100,65200,386
67,093320,2020-07-31,0 days 14:35:00.000000000,65200,65200,65100,65100,794
68,093320,2020-07-31,0 days 14:40:00.000000000,65100,65100,65000,65000,62
69,093320,2020-07-31,0 days 14:45:00.000000000,65000,65100,64800,64900,2764
70,093320,2020-07-31,0 days 14:50:00.000000000,64900,65400,64900,65300,1624
71,093320,2020-07-31,0 days 14:55:00.000000000,65200,65300,64900,65000,1105
72,093320,2020-07-31,0 days 15:00:00.000000000,65100,65200,64900,65200,1146
73,093320,2020-07-31,0 days 15:05:00.000000000,65200,65200,64800,64900,1089
74,093320,2020-07-31,0 days 15:10:00.000000000,64900,65000,64800,65000,435
75,093320,2020-07-31,0 days 15:15:00.000000000,65000,65000,64600,64700,798
76,093320,2020-07-31,0 days 15:30:00.000000000,64500,64500,64500,64500,2571
