,STOCKCODE,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,093320,2020-07-31,0 days 09:00:00.000000000,65300,65700,64600,65200,3595
1,093320,2020-07-31,0 days 09:05:00.000000000,65100,65200,64600,65000,731
2,093320,2020-07-31,0 days 09:10:00.000000000,64900,65200,64500,65200,1912
3,093320,2020-07-31,0 days 09:15:00.000000000,65100,65300,64800,65200,717
4,093320,2020-07-31,0 days 09:20:00.000000000,65200,66200,65000,66100,9222
5,093320,2020-07-31,0 days 09:25:00.000000000,66000,66900,66000,66900,11805
6,093320,2020-07-31,0 days 09:30:00.000000000,66900,67100,66000,66000,8870
7,093320,2020-07-31,0 days 09:35:00.000000000,66000,66100,65900,66000,4056
8,093320,2020-07-31,0 days 09:40:00.000000000,66000,66200,65600,66000,3172
9,093320,2020-07-31,0 days 09:45:00.000000000,66000,66400,65900,66100,2563
10,093320,2020-07-31,0 days 09:50:00.000000000,66200,66200,66000,66000,982
11,093320,2020-07-31,0 days 09:55:00.000000000,66000,66200,65700,65900,3586
12,093320,2020-07-31,0 days 10:00:00.000000000,65900,66000,65800,65900,1202
13,093320,2020-07-31,0 days 10:05:00.000000000,65900,66000,65900,65900,1458
14,093320,2020-07-31,0 days 10:10:00.000000000,65900,65900,65500,65600,2835
15,093320,2020-07-31,0 days 10:15:00.000000000,65600,65700,65400,65400,1398
16,093320,2020-07-31,0 days 10:20:00.000000000,65400,66200,65400,66100,2083
17,093320,2020-07-31,0 days 10:25:00.000000000,66200,66300,66000,66100,2146
18,093320,2020-07-31,0 days 10:30:00.000000000,66100,66200,65700,65800,2739
19,093320,2020-07-31,0 days 10:35:00.000000000,65700,65800,65700,65800,785
20,093320,2020-07-31,0 days 10:40:00.000000000,65900,66000,65700,65800,1053
21,093320,2020-07-31,0 days 10:45:00.000000000,65800,65900,65600,65600,1240
22,093320,2020-07-31,0 days 10:50:00.000000000,65700,65800,65600,65600,658
23,093320,2020-07-31,0 days 10:55:00.000000000,65600,65800,65500,65600,1322
24,093320,2020-07-31,0 days 11:00:00.000000000,65600,65600,65200,65400,2898
25,093320,2020-07-31,0 days 11:05:00.000000000,65400,65700,65400,65500,314
26,093320,2020-07-31,0 days 11:10:00.000000000,65400,65500,65000,65200,3075
27,093320,2020-07-31,0 days 11:15:00.000000000,65000,65200,65000,65100,646
28,093320,2020-07-31,0 days 11:20:00.000000000,65200,65300,65100,65300,466
29,093320,2020-07-31,0 days 11:25:00.000000000,65300,65300,65200,65300,316
30,093320,2020-07-31,0 days 11:30:00.000000000,65200,65300,65000,65100,555
31,093320,2020-07-31,0 days 11:35:00.000000000,65100,65200,64900,65100,1307
32,093320,2020-07-31,0 days 11:40:00.000000000,65100,65100,64900,64900,419
33,093320,2020-07-31,0 days 11:45:00.000000000,64900,65200,64900,65000,587
34,093320,2020-07-31,0 days 11:50:00.000000000,65000,65300,65000,65300,774
35,093320,2020-07-31,0 days 11:55:00.000000000,65200,65300,65100,65100,301
36,093320,2020-07-31,0 days 12:00:00.000000000,65100,65200,65000,65100,435
37,093320,2020-07-31,0 days 12:05:00.000000000,65000,65100,65000,65100,127
38,093320,2020-07-31,0 days 12:10:00.000000000,65100,65100,65000,65100,96
39,093320,2020-07-31,0 days 12:15:00.000000000,65000,65200,65000,65200,539
40,093320,2020-07-31,0 days 12:20:00.000000000,65200,65300,65100,65100,267
41,093320,2020-07-31,0 days 12:25:00.000000000,65100,65200,65100,65100,241
42,093320,2020-07-31,0 days 12:30:00.000000000,65100,65200,65000,65100,156
43,093320,2020-07-31,0 days 12:35:00.000000000,65100,65200,65000,65200,236
44,093320,2020-07-31,0 days 12:40:00.000000000,65200,65200,65000,65100,343
45,093320,2020-07-31,0 days 12:45:00.000000000,65100,65100,65000,65000,86
46,093320,2020-07-31,0 days 12:50:00.000000000,65000,65100,65000,65000,193
47,093320,2020-07-31,0 days 12:55:00.000000000,65000,65200,65000,65200,1502
48,093320,2020-07-31,0 days 13:00:00.000000000,65100,65200,65000,65200,304
49,093320,2020-07-31,0 days 13:05:00.000000000,65100,65300,65100,65300,430
50,093320,2020-07-31,0 days 13:10:00.000000000,65300,65400,65300,65400,171
51,093320,2020-07-31,0 days 13:15:00.000000000,65300,65400,65200,65200,540
52,093320,2020-07-31,0 days 13:20:00.000000000,65300,65300,65100,65100,163
53,093320,2020-07-31,0 days 13:25:00.000000000,65200,65200,65100,65100,140
54,093320,2020-07-31,0 days 13:30:00.000000000,65100,65200,65000,65200,612
55,093320,2020-07-31,0 days 13:35:00.000000000,65200,65300,65100,65200,124
