STOCKCODE,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
093320,2020-07-31,0 days 09:00:00.000000000,65300,65700,64600,65200,3595
093320,2020-07-31,0 days 09:05:00.000000000,65100,65200,64600,65000,731
093320,2020-07-31,0 days 09:10:00.000000000,64900,65200,64500,65200,1912
093320,2020-07-31,0 days 09:15:00.000000000,65100,65300,64800,65200,717
093320,2020-07-31,0 days 09:20:00.000000000,65200,66200,65000,66100,9222
093320,2020-07-31,0 days 09:25:00.000000000,66000,66900,66000,66900,11805
093320,2020-07-31,0 days 09:30:00.000000000,66900,67100,66000,66000,8870
093320,2020-07-31,0 days 09:35:00.000000000,66000,66100,65900,66000,4056
093320,2020-07-31,0 days 09:40:00.000000000,66000,66200,65600,66000,3172
093320,2020-07-31,0 days 09:45:00.000000000,66000,66400,65900,66100,2563
093320,2020-07-31,0 days 09:50:00.000000000,66200,66200,66000,66000,982
093320,2020-07-31,0 days 09:55:00.000000000,66000,66200,65700,65900,3586
093320,2020-07-31,0 days 10:00:00.000000000,65900,66000,65800,65900,1202
093320,2020-07-31,0 days 10:05:00.000000000,65900,66000,65900,65900,1458
093320,2020-07-31,0 days 10:10:00.000000000,65900,65900,65500,65600,2835
093320,2020-07-31,0 days 10:15:00.000000000,65600,65700,65400,65400,1398
093320,2020-07-31,0 days 10:20:00.000000000,65400,66200,65400,66100,2083
093320,2020-07-31,0 days 10:25:00.000000000,66200,66300,66000,66100,2146
093320,2020-07-31,0 days 10:30:00.000000000,66100,66200,65700,65800,2739
093320,2020-07-31,0 days 10:35:00.000000000,65700,65800,65700,65800,785
093320,2020-07-31,0 days 10:40:00.000000000,65900,66000,65700,65800,1053
093320,2020-07-31,0 days 10:45:00.000000000,65800,65900,65600,65600,1240
093320,2020-07-31,0 days 10:50:00.000000000,65700,65800,65600,65600,658
093320,2020-07-31,0 days 10:55:00.000000000,65600,65800,65500,65600,1322
093320,2020-07-31,0 days 11:00:00.000000000,65600,65600,65200,65400,2898
093320,2020-07-31,0 days 11:05:00.000000000,65400,65700,65400,65500,314
093320,2020-07-31,0 days 11:10:00.000000000,65400,65500,65000,65200,3075
093320,2020-07-31,0 days 11:15:00.000000000,65000,65200,65000,65100,646
